latitude,longitude,altitude,timestamp,heart_rate,cadence,elevation
55.92194245196879,11.671482073143125,-11.399999999999977,2022-10-08 13:25:24+02:00,159,74,5.836270332336426
55.92200112529099,11.67150822468102,-12.399999999999977,2022-10-08 13:25:27+02:00,159,74,6.071601867675781
55.92201336286962,11.671520629897714,-12.600000000000023,2022-10-08 13:25:29+02:00,160,75,6.118033409118652
55.922205140814185,11.671528341248631,-12.0,2022-10-08 13:25:38+02:00,161,80,6.85160493850708
55.92223523184657,11.671542674303055,-11.399999999999977,2022-10-08 13:25:39+02:00,161,80,6.944027423858643
55.92229072004557,11.67166312225163,-10.399999999999977,2022-10-08 13:25:43+02:00,158,76,7.0197601318359375
55.92236230149865,11.671843249350786,-10.199999999999989,2022-10-08 13:25:47+02:00,155,79,6.999914169311523
55.92242198064923,11.67197098955512,-11.199999999999989,2022-10-08 13:25:51+02:00,155,80,6.9146270751953125
55.92260252684355,11.671849703416228,-9.399999999999977,2022-10-08 13:25:58+02:00,156,80,7.274241924285889
55.92265826649964,11.671811901032925,-8.399999999999977,2022-10-08 13:26:00+02:00,160,80,7.371873378753662
55.9227654710412,11.671739062294364,-7.600000000000023,2022-10-08 13:26:04+02:00,157,79,7.55985689163208
55.92282976023853,11.671676198020577,-8.399999999999977,2022-10-08 13:26:07+02:00,162,76,7.717757225036621
55.92287342995405,11.67162599042058,-10.0,2022-10-08 13:26:09+02:00,166,76,7.852323532104492
55.92290863394737,11.67158592492342,-10.800000000000011,2022-10-08 13:26:12+02:00,171,76,7.963491439819336
55.92307115904987,11.671359278261662,-13.600000000000023,2022-10-08 13:26:20+02:00,170,76,8.625353813171387
55.92324315570295,11.671192394569516,-11.800000000000011,2022-10-08 13:26:27+02:00,171,76,9.42647647857666
55.92332026921213,11.671160375699401,-9.399999999999977,2022-10-08 13:26:32+02:00,168,64,9.725412368774414
55.923402244225144,11.67121502570808,-9.0,2022-10-08 13:26:36+02:00,168,73,9.910951614379883
55.92343325726688,11.671165404841304,-8.399999999999977,2022-10-08 13:26:38+02:00,168,74,10.092642784118652
55.923415403813124,11.670984858646989,-8.199999999999989,2022-10-08 13:26:43+02:00,171,75,10.322278022766113
55.92339134775102,11.670887377113104,-7.399999999999977,2022-10-08 13:26:48+02:00,171,0,10.38870906829834
55.92337366193533,11.67085929773748,-7.600000000000023,2022-10-08 13:26:52+02:00,168,0,10.366373062133789
55.92335212044418,11.670926855877042,-8.0,2022-10-08 13:26:55+02:00,168,0,10.184107780456543
55.92331892810762,11.67096490971744,-8.199999999999989,2022-10-08 13:26:57+02:00,165,73,10.007623672485352
55.923304008319974,11.670962981879711,-8.199999999999989,2022-10-08 13:26:58+02:00,162,74,9.956915855407715
55.9232768509537,11.670895339921117,-7.800000000000011,2022-10-08 13:27:03+02:00,162,75,9.954489707946777
55.92334968969226,11.670761900022626,-5.199999999999989,2022-10-08 13:27:10+02:00,159,65,10.40372085571289
55.923392521217465,11.670569702982903,-6.399999999999977,2022-10-08 13:27:19+02:00,156,78,10.80072021484375
55.923363687470555,11.670470209792256,-5.600000000000023,2022-10-08 13:27:22+02:00,156,76,10.818572044372559
55.92329344712198,11.67021875269711,-5.0,2022-10-08 13:27:27+02:00,156,80,10.702651023864746
55.92323636636138,11.670082295313478,-3.1999999999999886,2022-10-08 13:27:30+02:00,159,80,10.591527938842773
55.92320820316672,11.669760597869754,-0.39999999999997726,2022-10-08 13:27:36+02:00,161,80,10.64065933227539
55.92320107854903,11.669656075537205,0.39999999999997726,2022-10-08 13:27:38+02:00,164,79,10.66825008392334
55.92318808659911,11.669377712532878,2.1999999999999886,2022-10-08 13:27:44+02:00,162,80,10.814842224121094
55.923164868727326,11.669190460816026,2.3999999999999773,2022-10-08 13:27:48+02:00,159,80,10.898323059082031
55.92312404885888,11.668867589905858,1.1999999999999886,2022-10-08 13:27:54+02:00,161,78,11.007683753967285
55.92311466112733,11.668563662096858,0.0,2022-10-08 13:27:59+02:00,158,80,11.16092586517334
55.92309907078743,11.668476071208715,0.39999999999997726,2022-10-08 13:28:01+02:00,158,79,11.20763874053955
55.92296412214637,11.668393844738603,-0.19999999999998863,2022-10-08 13:28:06+02:00,155,77,11.359818458557129
55.922830514609814,11.668342631310225,0.19999999999998863,2022-10-08 13:28:14+02:00,155,76,11.536259651184082
55.92282062396407,11.668286472558975,0.19999999999998863,2022-10-08 13:28:16+02:00,160,69,11.61292839050293
55.92281861230731,11.668254034593701,0.39999999999997726,2022-10-08 13:28:17+02:00,164,69,11.653600692749023
55.92281651683152,11.668213550001383,0.19999999999998863,2022-10-08 13:28:18+02:00,167,76,11.704031944274902
55.92281240969896,11.668120259419084,-0.6000000000000227,2022-10-08 13:28:19+02:00,167,78,11.819857597351074
55.92280872166157,11.668063262477517,-0.8000000000000114,2022-10-08 13:28:24+02:00,167,76,11.892237663269043
55.922812493517995,11.668096538633108,-0.39999999999997726,2022-10-08 13:28:26+02:00,164,76,11.848111152648926
55.922820372506976,11.66815135627985,-0.6000000000000227,2022-10-08 13:28:29+02:00,162,54,11.773894309997559
55.92281676828861,11.668274067342281,-1.8000000000000114,2022-10-08 13:28:34+02:00,158,57,11.63169002532959
55.92280067503452,11.66834531351924,-3.6000000000000227,2022-10-08 13:28:35+02:00,156,57,11.563068389892578
55.92277611605823,11.668361825868487,-3.8000000000000114,2022-10-08 13:28:37+02:00,153,57,11.567721366882324
55.92267109081149,11.668310780078173,-4.800000000000011,2022-10-08 13:28:41+02:00,156,75,11.736534118652344
55.922647370025516,11.668224278837442,-5.399999999999977,2022-10-08 13:28:42+02:00,157,76,11.871316909790039
55.92264954932034,11.668071812018752,-8.800000000000011,2022-10-08 13:28:49+02:00,160,74,12.06417179107666
55.92263043858111,11.667898893356323,-9.800000000000011,2022-10-08 13:28:55+02:00,159,78,12.267666816711426
55.922583332285285,11.667882716283202,-10.800000000000011,2022-10-08 13:29:00+02:00,163,61,12.301434516906738
55.92255173251033,11.667876513674855,-11.399999999999977,2022-10-08 13:29:02+02:00,158,61,12.316018104553223
55.922512505203485,11.667882464826107,-10.399999999999977,2022-10-08 13:29:06+02:00,155,61,12.321462631225586
55.922415694221854,11.667984053492546,-5.800000000000011,2022-10-08 13:29:15+02:00,153,76,12.249536514282227
55.92226197011769,11.667754305526614,-1.8000000000000114,2022-10-08 13:29:23+02:00,155,75,12.338409423828125
55.92216230928898,11.66744677349925,-0.39999999999997726,2022-10-08 13:29:30+02:00,156,80,12.459678649902344
55.922109503299,11.667289109900594,2.3999999999999773,2022-10-08 13:29:34+02:00,159,79,12.408991813659668
55.9219763148576,11.667055673897266,5.800000000000011,2022-10-08 13:29:41+02:00,158,75,12.326970100402832
55.921767354011536,11.667015608400106,3.8000000000000114,2022-10-08 13:29:47+02:00,158,75,11.87955379486084
